Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.emdat.be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:,2023-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File creation:,"Wed, 09 Aug 2023 10:56:43 CEST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table type:,Custom request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of records:,767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1950-0011-IND,1950,0011,,Natural,Meteorological,Storm,,,,India,IND,Southern Asia,Asia,West,,,,,,,,,Kph,,,,,1950,9,12,1950,9,12,90,,,,,,,,,,,8.2395521104268,,,,
1950-0026-IND,1950,0026,,Natural,Hydrological,Flood,,,,India,IND,Southern Asia,Asia,,,,,,,,,,Km2,,,,,1950,6,,1950,6,,100,,,,,,,,,,,8.2395521104268,,,,
1952-0011-IND,1952,0011,,Natural,Meteorological,Storm,Tropical cyclone,,,India,IND,Southern Asia,Asia,"Tanjore, Tiruchi",,,,,,,,,Kph,,,,,1952,11,26,1952,11,26,400,,1000000,,1000000,,,,,,,9.0942774330851,,,,
1952-0025-IND,1952,0025,,Natural,Meteorological,Storm,,,,India,IND,Southern Asia,Asia,,,,,,,,,,Kph,,,,,1952,9,,1952,9,,350,,,,,,,,,,,9.0942774330851,,,,
1953-0042-IND,1953,0042,,Natural,Meteorological,Extreme temperature ,Heat wave,,,India,IND,Southern Asia,Asia,,,,,,,,,,°C,,,,,1953,6,,1953,6,,400,,,,,,,,,,,9.1626554588977,,,,
1953-0045-IND,1953,0045,,Natural,Hydrological,Flood,,,,India,IND,Southern Asia,Asia,,,,,,,,,,Km2,,,,,1953,6,,1953,6,,80,,,,,,,,,,,9.1626554588977,,,,
1954-0043-IND,1954,0043,,Natural,Hydrological,Landslide,Landslide,,,India,IND,Southern Asia,Asia,,,,,,,,,,,,,,,1954,2,,1954,2,,30,,,,,,,,,,,9.196844471804,,,,
1955-0015-IND,1955,0015,,Natural,Meteorological,Storm,Tropical cyclone,,,India,IND,Southern Asia,Asia,Punjab,,Flood,,,No,No,,,Kph,,,,,1955,9,28,1955,9,28,1500,,,375000,375000,,,,,,,9.1490044073985,,,,
1955-0019-IND,1955,0019,,Natural,Meteorological,Storm,Tropical cyclone,,,India,IND,Southern Asia,Asia,Tanjore,,,,,,,,,Kph,,,,,1955,11,28,1955,11,28,500,,,,,,,,,,,9.1490044073985,,,,
1955-0049-IND,1955,0049,,Natural,Meteorological,Storm,,,,India,IND,Southern Asia,Asia,,,,,,,,,,Kph,,,,,1955,12,,1955,12,,120,,,,,,,,,,,9.1490044073985,,,,
